job_title,agency,grade,comprate,hire_date,appointment_type,hire_year,years_of_service,grade_numeric,comprate_range
Compliance Specialist,DBH,13,123873.0,2004-10-18,CS - Reg,2004,22,13.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2020-08-17,CS - Reg,2020,6,9.0,100K-125K
Supervisory Psychiatric Nurse,DBH,13,122500.0,2023-08-14,MSS - Reg,2023,3,13.0,100K-125K
Climate Control Maint Mechanic,DBH,11,41.73,1985-08-27,CS - Reg,1985,41,11.0,Under 50K
Special Police Officer,DBH,08,75787.0,2016-11-14,CS - Reg,2016,10,8.0,75K-100K
Program Monitor,DBH,12,107046.0,1987-10-01,CS - Reg,1987,39,12.0,100K-125K
Program Support Assistant,DBH,07,67548.0,1990-12-03,CS - Reg,1990,36,7.0,50K-75K
Behavioral Health Technician,DBH,08,63711.0,2021-05-24,CS - Reg,2021,5,8.0,50K-75K
Medical Officer Psych Res,DBH,00,70325.0,2025-07-01,CS - Temp,2025,1,0.0,50K-75K
Chief Clinical Officer,DBH,15,177839.89,1994-11-03,MSS - Reg,1994,32,15.0,150K+
Clinical Services & Support Pr,DBH,13,119416.0,2014-01-01,MSS - Temp,2014,12,13.0,100K-125K
Psychiatric Nurse,DBH,09,108430.0,2021-08-16,CS - Reg,2021,5,9.0,100K-125K
Behavioral Health Technician,DBH,08,69117.0,2014-06-23,CS - Reg,2014,12,8.0,50K-75K
It Spec (Cust Supt),DBH,13,117029.0,2018-02-05,CS - Reg,2018,8,13.0,100K-125K
Medical Officer Psych Res,DBH,00,84504.0,2022-07-22,CS - Temp,2022,4,0.0,75K-100K
Comm Behav Hlth Spec (Bilingua,DBH,11,82111.0,2022-02-28,CS - Reg,2022,4,11.0,75K-100K
Mental Hlth Spec,DBH,11,77299.0,1992-06-15,CS - Reg,1992,34,11.0,75K-100K
Behavioral Health Technician,DBH,08,72721.0,1987-10-01,CS - Reg,1987,39,8.0,50K-75K
Mental Health Counselor,DBH,08,63711.0,2021-07-06,CS - Reg,2021,5,8.0,50K-75K
School Behav Hlth Clin Spec,DBH,12,104168.0,2018-10-29,CS - Reg,2018,8,12.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2018-05-14,CS - Reg,2018,8,9.0,100K-125K
Medical Officer (Psychiatry),DBH,5B,347689.0,2018-07-01,CS - Reg,2018,8,,150K+
Peer Counselor,DBH,08,63711.0,2020-10-26,CS - Reg,2020,6,8.0,50K-75K
Behavioral Health Technician,DBH,08,69117.0,2009-03-26,CS - Reg,2009,17,8.0,50K-75K
Information Technology Special,DBH,12,118558.0,2011-11-21,CS - Reg,2011,15,12.0,100K-125K
Behavioral Health Technician,DBH,08,72721.0,1989-11-20,CS - Reg,1989,37,8.0,50K-75K
Compliance Specialist,DBH,13,137561.0,1986-04-21,CS - Reg,1986,40,13.0,125K-150K
Psychiatric Nurse,DBH,09,112169.0,2015-11-16,CS - Reg,2015,11,9.0,100K-125K
Program Analyst,DBH,13,130717.0,2002-08-26,CS - Reg,2002,24,13.0,125K-150K
Program Monitor,DBH,13,137561.0,1998-04-27,CS - Reg,1998,28,13.0,125K-150K
Director Of Operations,DBH,16,161556.2,2002-08-05,MSS - Reg,2002,24,16.0,150K+
Social Worker,DBH,12,101290.0,2023-03-06,CS - Reg,2023,3,12.0,100K-125K
Forensic Psych Tech,DBH,08,72721.0,2014-03-24,CS - Reg,2014,12,8.0,50K-75K
Staff Assistant,DBH,09,70102.0,2022-10-11,CS - Term,2022,4,9.0,50K-75K
Medical Officer (Psychiatry),DBH,5B,381459.0,2001-08-27,CS - Reg,2001,25,,150K+
Care Coordinator,DBH,11,96547.0,2005-10-17,CS - Reg,2005,21,11.0,75K-100K
Psychiatric Nurse,DBH,11,125970.0,2011-09-26,CS - Reg,2011,15,11.0,125K-150K
Nurse Educator,DBH,12,132267.0,1987-10-01,CS - Reg,1987,39,12.0,125K-150K
Special Police Officer,DBH,08,75787.0,2017-02-21,CS - Reg,2017,9,8.0,75K-100K
Behavioral Health Technician,DBH,08,63711.0,2023-04-24,CS - Reg,2023,3,8.0,50K-75K
Psychiatric Nurse,DBH,11,125970.0,1987-10-01,CS - Reg,1987,39,11.0,125K-150K
Reports Developer,DBH,13,137561.0,2013-08-12,CS - Reg,2013,13,13.0,125K-150K
Behavioral Health Technician,DBH,08,58305.0,2024-06-17,CS - Reg,2024,2,8.0,50K-75K
Chief Operating Officer,DBH,16,189473.58,2016-12-05,MSS - Reg,2016,10,16.0,150K+
Admin Support Spec (Billingual,DBH,09,76060.0,2012-10-15,CS - Reg,2012,14,9.0,75K-100K
Behavioral Health Technician,DBH,08,67315.0,2016-06-13,CS - Reg,2016,10,8.0,50K-75K
Attorney Advisor,DBH,14,150262.0,2004-02-09,LS - Reg,2004,22,14.0,150K+
Food Service Worker,DBH,04,25.79,2018-03-05,CS - Reg,2018,8,4.0,Under 50K
Housekeeping Aide Foreman,DBH,03,27.47,1988-06-20,CS - Reg,1988,38,3.0,Under 50K
Program Coordinator,DBH,13,119916.0,2015-10-06,CS - Reg,2015,11,13.0,100K-125K
Psychiatric Nurse,DBH,11,105652.0,2015-02-09,CS - Reg,2015,11,11.0,100K-125K
Social Worker,DBH,12,98412.0,2024-08-27,CS - Reg,2024,2,12.0,75K-100K
Medical Officer (Psychiatry),DBH,5B,381459.0,2004-03-22,CS - Reg,2004,22,,150K+
Program Analyst (Qual Improv),DBH,13,127295.0,2014-04-07,CS - Reg,2014,12,13.0,125K-150K
Psychiatric Nurse,DBH,11,125970.0,2000-09-18,CS - Reg,2000,26,11.0,125K-150K
Early Childhood Behav. Hlth Sp,DBH,12,98412.0,2023-07-17,CS - Reg,2023,3,12.0,75K-100K
Medical Records Administrator,DBH,14,139495.51,2007-08-06,MSS - Reg,2007,19,14.0,125K-150K
Medical Officer General Practi,DBH,3C,268688.0,2024-09-09,CS - Reg,2024,2,,150K+
Medical Records Tech,DBH,07,58608.0,2023-10-23,CS - Reg,2023,3,7.0,50K-75K
Behavioral Health Technician,DBH,08,67315.0,2015-12-28,CS - Reg,2015,11,8.0,50K-75K
Psychiatric Nurse,DBH,09,97212.0,2023-11-06,CS - Reg,2023,3,9.0,75K-100K
Supv Human Resources Spec,DBH,14,146692.88,2005-04-11,MSS - Temp,2005,21,14.0,125K-150K
Housekeeping Aide,DBH,03,26.83,1988-02-14,CS - Reg,1988,38,3.0,Under 50K
Director Of Care Access And In,DBH,15,129604.78,2002-05-20,MSS - Reg,2002,24,15.0,125K-150K
Medical Officer (Psych. Reside,DBH,00,91295.0,2022-07-01,CS - Temp,2022,4,0.0,75K-100K
Psychiatric Nurse,DBH,09,104691.0,2015-07-27,CS - Reg,2015,11,9.0,100K-125K
Supervisory Consumer Affairs S,DBH,11,73334.0,2018-05-21,MSS - Reg,2018,8,11.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,2007-04-30,CS - Reg,2007,19,8.0,50K-75K
Recreation Therapist,DBH,12,121434.0,2015-08-24,CS - Reg,2015,11,12.0,100K-125K
Social Worker,DBH,12,109924.0,2005-12-12,CS - Reg,2005,21,12.0,100K-125K
Psychiatric Nurse,DBH,09,108430.0,2020-07-20,CS - Reg,2020,6,9.0,100K-125K
Chief Information Officer,DBH,15,170000.0,2021-11-22,MSS - Reg,2021,5,15.0,150K+
Psychiatric Nurse,DBH,09,115907.0,2011-10-11,CS - Reg,2011,15,9.0,100K-125K
Psychiatric Nurse,DBH,11,121904.0,2022-06-21,CS - Reg,2022,4,11.0,100K-125K
Program Manager (Sbhe),DBH,14,125287.74,2011-08-01,MSS - Reg,2011,15,14.0,125K-150K
Psychiatric Nurse,DBH,11,125970.0,2012-11-05,CS - Reg,2012,14,11.0,125K-150K
Supvy. Medical Officer (Psychi,DBH,MD6,261401.09,2005-07-05,MSS - Reg,2005,21,,150K+
Program Support Assistant,DBH,07,67548.0,2008-07-21,CS - Reg,2008,18,7.0,50K-75K
Clinical Psychologist,DBH,13,137566.0,2008-03-31,CS - Reg,2008,18,13.0,125K-150K
Psychiatric Nurse,DBH,09,108430.0,2022-09-19,CS - Reg,2022,4,9.0,100K-125K
Supervisory Psychiatric Nurse,DBH,13,110362.98,2020-06-08,MSS - Reg,2020,6,13.0,100K-125K
Medical Officer General Practi,DBH,3B,272584.0,2024-06-03,CS - Reg,2024,2,,150K+
Psychiatric Nurse,DBH,09,112169.0,2013-07-15,CS - Reg,2013,13,9.0,100K-125K
Access Counselor,DBH,07,67548.0,2002-08-12,CS - Reg,2002,24,7.0,50K-75K
Behavioral Support Specialist,DBH,11,86923.0,1999-02-01,CS - Reg,1999,27,11.0,75K-100K
School Primary Project Manager,DBH,13,118480.13,1983-11-17,MSS - Reg,1983,43,13.0,100K-125K
Forensic Coordinator,DBH,12,112802.0,2014-07-28,CS - Reg,2014,12,12.0,100K-125K
Psychiatric Nurse,DBH,09,115907.0,2021-07-19,CS - Reg,2021,5,9.0,100K-125K
Housekeeping Aide,DBH,03,21.93,2023-11-20,CS - Reg,2023,3,3.0,Under 50K
Psychiatric Nurse,DBH,09,115907.0,2011-11-21,CS - Reg,2011,15,9.0,100K-125K
Behavioral Health Technician,DBH,08,56503.0,2025-07-28,CS - Reg,2025,1,8.0,50K-75K
Social Worker,DBH,12,118558.0,1987-10-01,CS - Reg,1987,39,12.0,100K-125K
Psychiatric Nurse,DBH,09,108430.0,2019-07-22,CS - Reg,2019,7,9.0,100K-125K
Network Development Spec,DBH,13,123873.0,2018-08-20,CS - Reg,2018,8,13.0,100K-125K
Maintenance Mechanic,DBH,09,36.54,2007-08-27,CS - Reg,2007,19,9.0,Under 50K
Psychiatric Nurse,DBH,09,112169.0,2011-10-24,CS - Reg,2011,15,9.0,100K-125K
Housekeeping Aide,DBH,03,25.43,2014-06-30,CS - Reg,2014,12,3.0,Under 50K
Investigative Support Analyst,DBH,12,95534.0,2004-06-01,CS - Reg,2004,22,12.0,75K-100K
Maintenance Mechanic,DBH,10,39.64,1987-10-01,CS - Reg,1987,39,10.0,Under 50K
Behavioral Health Technician,DBH,08,60107.0,2014-02-24,CS - Reg,2014,12,8.0,50K-75K
Forensic Psych Tech,DBH,09,80032.0,1990-09-24,CS - Reg,1990,36,9.0,75K-100K
Social Worker,DBH,12,118558.0,1999-08-18,CS - Reg,1999,27,12.0,100K-125K
Medical Officer (Psychiatry),DBH,05,275403.75,1988-09-12,CS - Reg,1988,38,5.0,150K+
Clinical Nurse,DBH,11,117841.0,2015-01-02,CS - Reg,2015,11,11.0,100K-125K
Staff Assistant,DBH,09,59378.0,2022-02-28,CS - Reg,2022,4,9.0,50K-75K
Social Worker,DBH,11,82109.0,2023-06-05,CS - Reg,2023,3,11.0,75K-100K
Lead Comm Behavioral Hlth Spec,DBH,12,101290.0,2020-11-09,CS - Reg,2020,6,12.0,100K-125K
Medical Technician (Phlebotomy,DBH,07,72449.0,1990-09-29,CS - Reg,1990,36,7.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,2005-09-19,CS - Reg,2005,21,8.0,50K-75K
Psychiatric Nurse,DBH,11,125970.0,1989-07-17,CS - Reg,1989,37,11.0,125K-150K
Psychiatric Nurse,DBH,09,108430.0,2014-11-17,CS - Reg,2014,12,9.0,100K-125K
Supv. Medical Officer (General,DBH,MD5,236989.99,2019-04-01,MSS - Reg,2019,7,,150K+
Human Resources Specialist,DBH,13,113950.0,1991-03-06,CS - Reg,1991,35,13.0,100K-125K
Psychiatric Nurse,DBH,09,108430.0,2019-10-28,CS - Reg,2019,7,9.0,100K-125K
Behavioral Health Technician,DBH,08,63711.0,2022-10-24,CS - Term,2022,4,8.0,50K-75K
Behavioral Health Technician,DBH,08,61909.0,2022-12-05,CS - Reg,2022,4,8.0,50K-75K
Medical Officer Psych Res,DBH,00,76193.0,2024-08-19,CS - Temp,2024,2,0.0,75K-100K
Creative Arts Therapist (Art),DBH,12,109922.0,2025-07-28,CS - Reg,2025,1,12.0,100K-125K
Social Worker,DBH,11,86921.0,2020-09-28,Ed - Reg,2020,6,11.0,75K-100K
Program Monitor,DBH,12,115680.0,1990-01-16,CS - Reg,1990,36,12.0,100K-125K
"Director, Specialty Care Divis",DBH,15,135175.98,2004-07-12,MSS - Reg,2004,22,15.0,125K-150K
Behavioral Health Technician,DBH,08,72721.0,1995-09-18,CS - Reg,1995,31,8.0,50K-75K
Behavioral Health Technician,DBH,08,61909.0,2018-05-29,CS - Reg,2018,8,8.0,50K-75K
Psychiatric Nurse,DBH,09,112169.0,2012-06-04,CS - Reg,2012,14,9.0,100K-125K
Pharmacy Tech,DBH,06,56621.0,2025-08-11,CS - Reg,2025,1,6.0,50K-75K
Behavioral Health Technician,DBH,08,72721.0,1989-11-06,CS - Reg,1989,37,8.0,50K-75K
Behavioral Health Technician,DBH,08,56503.0,2025-01-27,CS - Reg,2025,1,8.0,50K-75K
Community Prevention Specialis,DBH,13,137561.0,2003-10-06,CS - Reg,2003,23,13.0,125K-150K
Medical Technologist,DBH,09,76070.0,2024-02-12,CS - Term,2024,2,9.0,75K-100K
Psychiatric Nurse,DBH,09,97212.0,2024-07-15,CS - Reg,2024,2,9.0,75K-100K
Deputy Chief Operating Officer,DBH,15,155310.1,2002-12-18,MSS - Reg,2002,24,15.0,150K+
Psychiatric Nurse,DBH,11,125970.0,1999-03-29,CS - Reg,1999,27,11.0,125K-150K
Psychiatric Nurse,DBH,09,104691.0,2022-09-26,CS - Reg,2022,4,9.0,100K-125K
Info Technology Manager (Appsw,DBH,15,127028.79,2014-11-17,MSS - Reg,2014,12,15.0,125K-150K
Mental Hlth Spec,DBH,11,96547.0,2009-03-03,CS - Reg,2009,17,11.0,75K-100K
Early Childhood Clin Spec,DBH,13,137561.0,1995-03-18,CS - Reg,1995,31,13.0,125K-150K
Staff Assistant,DBH,09,76060.0,2017-08-21,CS - Reg,2017,9,9.0,75K-100K
Behavioral Health Technician,DBH,08,61909.0,2023-04-10,CS - Reg,2023,3,8.0,50K-75K
Psychiatric Nurse,DBH,11,125970.0,1994-08-22,CS - Reg,1994,32,11.0,125K-150K
Clinical Administrator,DBH,13,109076.76,2020-08-31,MSS - Reg,2020,6,13.0,100K-125K
Forensic Svcs Advisor & Liaiso,DBH,13,123873.0,2019-06-24,CS - Reg,2019,7,13.0,100K-125K
Behavioral Health Technician,DBH,08,63711.0,2022-10-24,CS - Reg,2022,4,8.0,50K-75K
Nurse Educator,DBH,12,128000.0,2013-12-02,CS - Reg,2013,13,12.0,125K-150K
Behavioral Health Coordinator,DBH,12,101290.0,2022-08-08,CS - Term,2022,4,12.0,100K-125K
Clinical Care Coordinator,DBH,12,118558.0,2005-04-04,CS - Reg,2005,21,12.0,100K-125K
Comm Behavioral Hlth Spec,DBH,11,77299.0,2009-09-21,CS - Reg,2009,17,11.0,75K-100K
Food Service Worker,DBH,04,25.79,2018-09-17,CS - Reg,2018,8,4.0,Under 50K
